Gene Ontology	Bacteria	Paper ID
regulation of antigen processing and presentation	Staphylococcus aureus	30697193
positive regulation of antigen processing and presentation	Staphylococcus aureus	30697193
antigen processing and presentation	Staphylococcus aureus	30697193
regulation of immune system process	Staphylococcus aureus	30697193
immune system process	Staphylococcus aureus	30697193
positive regulation of immune system process	Staphylococcus aureus	30697193
cellular extravasation	influenza virus	32754003
leukocyte migration	influenza virus	32754003
immune system process	influenza virus	32754003
hemopoiesis	Staphylococcus aureus	25265569
myeloid cell homeostasis	Staphylococcus aureus	25265569
hematopoietic or lymphoid organ development	Staphylococcus aureus	25265569
regulation of immune system process	Staphylococcus aureus	25265569
regulation of erythrocyte differentiation	Staphylococcus aureus	25265569
immune system development	Staphylococcus aureus	25265569
erythrocyte homeostasis	Staphylococcus aureus	25265569
regulation of myeloid cell differentiation	Staphylococcus aureus	25265569
immune system process	Staphylococcus aureus	25265569
regulation of hemopoiesis	Staphylococcus aureus	25265569
erythrocyte differentiation	Staphylococcus aureus	25265569
myeloid cell differentiation	Staphylococcus aureus	25265569
hemopoiesis	Staphylococcus aureus	25628250
myeloid cell homeostasis	Staphylococcus aureus	25628250
hematopoietic or lymphoid organ development	Staphylococcus aureus	25628250
regulation of immune system process	Staphylococcus aureus	25628250
regulation of erythrocyte differentiation	Staphylococcus aureus	25628250
immune system development	Staphylococcus aureus	25628250
erythrocyte homeostasis	Staphylococcus aureus	25628250
regulation of myeloid cell differentiation	Staphylococcus aureus	25628250
immune system process	Staphylococcus aureus	25628250
regulation of hemopoiesis	Staphylococcus aureus	25628250
erythrocyte differentiation	Staphylococcus aureus	25628250
myeloid cell differentiation	Staphylococcus aureus	25628250
hemopoiesis	influenza virus	30949322
myeloid cell homeostasis	influenza virus	30949322
hematopoietic or lymphoid organ development	influenza virus	30949322
regulation of immune system process	influenza virus	30949322
regulation of erythrocyte differentiation	influenza virus	30949322
immune system development	influenza virus	30949322
erythrocyte homeostasis	influenza virus	30949322
regulation of myeloid cell differentiation	influenza virus	30949322
immune system process	influenza virus	30949322
regulation of hemopoiesis	influenza virus	30949322
erythrocyte differentiation	influenza virus	30949322
myeloid cell differentiation	influenza virus	30949322
microglial cell activation	Streptococcus pneumoniae	23969854
leukocyte activation	Streptococcus pneumoniae	23969854
myeloid leukocyte activation	Streptococcus pneumoniae	23969854
macrophage activation	Streptococcus pneumoniae	23969854
immune system process	Streptococcus pneumoniae	23969854
microglial cell activation	Staphylococcus aureus	33371165
leukocyte activation	Staphylococcus aureus	33371165
myeloid leukocyte activation	Staphylococcus aureus	33371165
macrophage activation	Staphylococcus aureus	33371165
immune system process	Staphylococcus aureus	33371165
microglial cell activation	Staphylococcus aureus	18165267
leukocyte activation	Staphylococcus aureus	18165267
myeloid leukocyte activation	Staphylococcus aureus	18165267
macrophage activation	Staphylococcus aureus	18165267
immune system process	Staphylococcus aureus	18165267
microglial cell activation	Staphylococcus aureus	24381528
leukocyte activation	Staphylococcus aureus	24381528
myeloid leukocyte activation	Staphylococcus aureus	24381528
macrophage activation	Staphylococcus aureus	24381528
immune system process	Staphylococcus aureus	24381528
microglial cell activation	Staphylococcus aureus	29719536
leukocyte activation	Staphylococcus aureus	29719536
myeloid leukocyte activation	Staphylococcus aureus	29719536
macrophage activation	Staphylococcus aureus	29719536
immune system process	Staphylococcus aureus	29719536
microglial cell activation	Staphylococcus aureus	30859215
leukocyte activation	Staphylococcus aureus	30859215
myeloid leukocyte activation	Staphylococcus aureus	30859215
macrophage activation	Staphylococcus aureus	30859215
immune system process	Staphylococcus aureus	30859215
microglial cell activation	influenza virus	19646728
leukocyte activation	influenza virus	19646728
myeloid leukocyte activation	influenza virus	19646728
macrophage activation	influenza virus	19646728
immune system process	influenza virus	19646728
microglial cell activation	influenza virus	28696309
leukocyte activation	influenza virus	28696309
myeloid leukocyte activation	influenza virus	28696309
macrophage activation	influenza virus	28696309
immune system process	influenza virus	28696309
immunoglobulin production involved in immunoglobulin-mediated immune response	Staphylococcus aureus	30671382
adaptive immune response	Staphylococcus aureus	30671382
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	Staphylococcus aureus	30671382
immune effector process	Staphylococcus aureus	30671382
production of molecular mediator of immune response	Staphylococcus aureus	30671382
immune system process	Staphylococcus aureus	30671382
leukocyte mediated immunity	Staphylococcus aureus	30671382
immunoglobulin production	Staphylococcus aureus	30671382
immune response	Staphylococcus aureus	30671382
lymphocyte mediated immunity	Staphylococcus aureus	30671382
immunoglobulin mediated immune response	Staphylococcus aureus	30671382
B cell mediated immunity	Staphylococcus aureus	30671382
immune response	influenza virus	24899188
defense response to virus	influenza virus	24899188
immune system process	influenza virus	24899188
cytoplasmic pattern recognition receptor signaling pathway in response to virus	influenza virus	24899188
mast cell migration	Staphylococcus aureus	33189776
leukocyte migration	Staphylococcus aureus	33189776
myeloid leukocyte migration	Staphylococcus aureus	33189776
immune system process	Staphylococcus aureus	33189776
mast cell migration	Staphylococcus aureus	19755424
leukocyte migration	Staphylococcus aureus	19755424
myeloid leukocyte migration	Staphylococcus aureus	19755424
immune system process	Staphylococcus aureus	19755424
regulation of immune system process	Haemophilus influenzae	25888408
