Ensembl transcript,StringDB
ENST00000288398,ENSP00000288398
ENST00000619410,ENSP00000478562
ENST00000373031,ENSP00000362122
ENST00000370008,ENSP00000359025
ENST00000374469,ENSP00000363593
ENST00000530752,ENSP00000436893
ENST00000401833,ENSP00000384827
ENST00000457354,ENSP00000393316
ENST00000527886,ENSP00000434035
ENST00000647385,ENSP00000493891
ENST00000372146,ENSP00000361219
ENST00000314425,ENSP00000322845
ENST00000345714,ENSP00000331816
ENST00000447630,ENSP00000401115
ENST00000247930,ENSP00000247930
ENST00000392546,ENSP00000376329
ENST00000415684,ENSP00000416510
ENST00000357545,ENSP00000350153
ENST00000405491,ENSP00000384469
ENST00000642639,ENSP00000494191
ENST00000393240,ENSP00000376932
ENST00000355162,ENSP00000347289
ENST00000334690,ENSP00000335371
ENST00000366698,ENSP00000355659
ENST00000426705,ENSP00000397261
ENST00000309934,ENSP00000310521
ENST00000547530,ENSP00000448387
ENST00000390449,ENSP00000452526
ENST00000315939,ENSP00000313059
ENST00000334888,ENSP00000334844
ENST00000262096,ENSP00000262096
ENST00000638011,ENSP00000490111
ENST00000552744,ENSP00000447575
ENST00000372189,ENSP00000361263
ENST00000371750,ENSP00000360815
ENST00000346141,ENSP00000342561
ENST00000320476,ENSP00000322938
ENST00000344922,ENSP00000340900
ENST00000243563,ENSP00000243563
ENST00000374049,ENSP00000363161
ENST00000380636,ENSP00000370010
ENST00000392527,ENSP00000376312
ENST00000425134,ENSP00000396322
ENST00000424767,ENSP00000416782
ENST00000381911,ENSP00000371336
ENST00000409520,ENSP00000387075
ENST00000307635,ENSP00000302603
ENST00000455382,ENSP00000388523
ENST00000426802,ENSP00000389352
ENST00000446397,ENSP00000412743
ENST00000355371,ENSP00000347532
ENST00000426861,ENSP00000402348
ENST00000374946,ENSP00000364084
ENST00000436519,ENSP00000395976
ENST00000336708,ENSP00000338989
ENST00000613488,ENSP00000482829
ENST00000673269,ENSP00000500384
ENST00000334352,ENSP00000334808
ENST00000578237,ENSP00000463188
ENST00000334805,ENSP00000335247
ENST00000342640,ENSP00000340088
ENST00000377773,ENSP00000367004
ENST00000261205,ENSP00000261205
ENST00000458317,ENSP00000388318
ENST00000312397,ENSP00000310448
ENST00000649550,ENSP00000497549
ENST00000532635,ENSP00000434407
ENST00000356825,ENSP00000349282
ENST00000602710,ENSP00000473623
ENST00000625494,ENSP00000487319
ENST00000361475,ENSP00000355330
ENST00000502322,ENSP00000427639
ENST00000310991,ENSP00000311122
ENST00000311812,ENSP00000312368
ENST00000321301,ENSP00000313584
ENST00000392903,ENSP00000376636
ENST00000375331,ENSP00000364480
ENST00000392586,ENSP00000376365
ENST00000395802,ENSP00000379147
ENST00000355295,ENSP00000347444
ENST00000633063,ENSP00000488055
ENST00000588001,ENSP00000490812
ENST00000606911,ENSP00000476687
ENST00000371157,ENSP00000360199
ENST00000261778,ENSP00000261778
ENST00000382533,ENSP00000371973
ENST00000540797,ENSP00000445828
ENST00000259873,ENSP00000259873
ENST00000432835,ENSP00000395210
ENST00000326317,ENSP00000314606
ENST00000318430,ENSP00000325561
ENST00000290079,ENSP00000290079
ENST00000383233,ENSP00000372720
ENST00000371145,ENSP00000360187
ENST00000371927,ENSP00000360995
ENST00000448790,ENSP00000393080
ENST00000431657,ENSP00000387842
ENST00000646570,ENSP00000496064
ENST00000383601,ENSP00000373095
ENST00000428984,ENSP00000401265
ENST00000378930,ENSP00000368212
ENST00000203001,ENSP00000203001
ENST00000380198,ENSP00000369545
ENST00000324787,ENSP00000320567
ENST00000421688,ENSP00000402790
ENST00000612677,ENSP00000481054
ENST00000602198,ENSP00000472308
ENST00000437212,ENSP00000416037
ENST00000447411,ENSP00000389843
ENST00000519997,ENSP00000428474
ENST00000609386,ENSP00000476379
ENST00000282441,ENSP00000282441
ENST00000615301,ENSP00000480109
ENST00000379186,ENSP00000368484
ENST00000477053,ENSP00000437280
ENST00000399169,ENSP00000382121
ENST00000394801,ENSP00000378280
ENST00000525842,ENSP00000433457
ENST00000651428,ENSP00000498610
ENST00000211998,ENSP00000211998
ENST00000636696,ENSP00000490274
ENST00000602959,ENSP00000473639
ENST00000426120,ENSP00000398983
ENST00000357503,ENSP00000350102
ENST00000453744,ENSP00000396901
ENST00000646057,ENSP00000496483
ENST00000307771,ENSP00000303015
ENST00000538913,ENSP00000445409
ENST00000436657,ENSP00000417018
ENST00000371432,ENSP00000360486
ENST00000296490,ENSP00000296490
ENST00000590194,ENSP00000467681
ENST00000446501,ENSP00000389859
ENST00000003302,ENSP00000003302
ENST00000407431,ENSP00000383892
ENST00000398022,ENSP00000381104
ENST00000439086,ENSP00000388567
ENST00000478497,ENSP00000453502
ENST00000395245,ENSP00000378666
ENST00000672547,ENSP00000500395
ENST00000566215,ENSP00000457771
ENST00000374037,ENSP00000363149
ENST00000514949,ENSP00000421663
ENST00000327800,ENSP00000383438
ENST00000390353,ENSP00000374876
ENST00000341463,ENSP00000368862
ENST00000321448,ENSP00000319303
ENST00000351937,ENSP00000336749
ENST00000420455,ENSP00000397773
ENST00000370053,ENSP00000359070
ENST00000454715,ENSP00000387728
ENST00000421545,ENSP00000390621
ENST00000333206,ENSP00000329738
ENST00000423210,ENSP00000401989
ENST00000510563,ENSP00000424071
ENST00000368868,ENSP00000357861
ENST00000357207,ENSP00000349738
ENST00000295033,ENSP00000295033
ENST00000417237,ENSP00000402581
ENST00000338145,ENSP00000337208
ENST00000394947,ENSP00000378402
ENST00000432459,ENSP00000405588
ENST00000378602,ENSP00000367865
ENST00000266579,ENSP00000266579
ENST00000537403,ENSP00000444193
ENST00000539018,ENSP00000441757
ENST00000569437,ENSP00000456051
ENST00000311227,ENSP00000310701
ENST00000317268,ENSP00000321674
ENST00000260187,ENSP00000260187
ENST00000359544,ENSP00000352541
ENST00000629586,ENSP00000487519
ENST00000336139,ENSP00000337724
ENST00000351748,ENSP00000326762
ENST00000454783,ENSP00000403495
ENST00000601693,ENSP00000469582
ENST00000288177,ENSP00000288177
ENST00000344103,ENSP00000342759
ENST00000582401,ENSP00000462521
ENST00000565886,ENSP00000457962
ENST00000306480,ENSP00000305069
